#Ivanov (2001) Table 2	
#N_H is the number of craters on an “average” mare surface per #sqrt(2) diameter bin	
#D_L is the left boundary of the diameter interval	
#N_H	D_L
0.0156	19210
0.0221	5113
0.0313	1360
0.0442	362
0.0625	96.32
0.0884	25.63
0.125	6.82
0.1768	1.815
0.25	0.4829
0.3536	0.1285
0.5	0.03419
0.7071	9.10E-03
1	2.42E-03
1.414	6.44E-04
2	3.45E-04
2.828	1.85E-04
4	9.92E-05
5.657	5.31E-05
8	2.85E-05
11.31	1.53E-05
16	8.18E-06
22.63	4.38E-06
32	2.35E-06
45.25	1.26E-06
64	6.74E-07
90.51	3.14E-07
128	1.47E-07
181	6.84E-08
256	3.19E-08
